ID,TimeStamp,CountryCode,TweetType,Size,RetweetCount,LikeCount
1126602450079666176,Thu May 09 22:38:50 WEST 2019,US,ORIGINAL,114,1,2
1126601550099619844,Thu May 09 22:35:15 WEST 2019,US,ORIGINAL,300,8,6
1126594648170831872,Thu May 09 22:07:49 WEST 2019,CA,ORIGINAL,169,1,1
1126585245090947076,Thu May 09 21:30:28 WEST 2019,US,ORIGINAL,130,3,1
1126583675536252937,Thu May 09 21:24:13 WEST 2019,US,ORIGINAL,277,12,6
1126578029600415744,Thu May 09 21:01:47 WEST 2019,US,ORIGINAL,272,17,8
1126593140708843521,Thu May 09 22:01:50 WEST 2019,DE,ORIGINAL,90,0,0
1126573980809408513,Thu May 09 20:45:42 WEST 2019,US,ORIGINAL,238,2,0
1126553682999500807,Thu May 09 19:25:03 WEST 2019,DE,ORIGINAL,141,1,2
1126592932495147008,Thu May 09 22:01:00 WEST 2019,US,ORIGINAL,202,0,0
1126608229738450946,Thu May 09 23:01:47 WEST 2019,ES,ORIGINAL,57,0,0
1126604046146711553,Thu May 09 22:45:10 WEST 2019,US,ORIGINAL,132,0,0
1126599110042296320,Thu May 09 22:25:33 WEST 2019,MQ,ORIGINAL,97,0,0
1126597876581376003,Thu May 09 22:20:39 WEST 2019,CH,ORIGINAL,76,0,0
1126607826892181505,Thu May 09 23:00:11 WEST 2019,US,ORIGINAL,177,0,0
1126886104261480449,Fri May 10 17:25:58 WEST 2019,US,ORIGINAL,298,5,2
1126863164245663745,Fri May 10 15:54:49 WEST 2019,US,ORIGINAL,296,11,11
1126861222568009728,Fri May 10 15:47:06 WEST 2019,US,ORIGINAL,302,17,11
1126859601616310273,Fri May 10 15:40:39 WEST 2019,US,ORIGINAL,301,11,5
1126857664703549445,Fri May 10 15:32:57 WEST 2019,US,ORIGINAL,297,12,6
1126855647847505920,Fri May 10 15:24:57 WEST 2019,CH,ORIGINAL,250,1,2
1126854361877925889,Fri May 10 15:19:50 WEST 2019,US,ORIGINAL,300,12,9
1126852499753672704,Fri May 10 15:12:26 WEST 2019,US,ORIGINAL,299,6,0
1126852499753672704,Fri May 10 15:12:26 WEST 2019,US,ORIGINAL,299,6,0
1126849464155533312,Fri May 10 15:00:22 WEST 2019,US,ORIGINAL,288,4,1
1126848391441338369,Fri May 10 14:56:07 WEST 2019,US,ORIGINAL,290,7,2
1126846352678195200,Fri May 10 14:48:00 WEST 2019,US,ORIGINAL,299,14,9
1126846352678195200,Fri May 10 14:48:00 WEST 2019,US,ORIGINAL,299,14,9
1126845488701902850,Fri May 10 14:44:34 WEST 2019,US,ORIGINAL,299,13,6
1126844914912743424,Fri May 10 14:42:18 WEST 2019,US,ORIGINAL,297,6,6
1126843255327301632,Fri May 10 14:35:42 WEST 2019,US,ORIGINAL,294,9,3
1126843255327301632,Fri May 10 14:35:42 WEST 2019,US,ORIGINAL,294,9,3
1126840838984589312,Fri May 10 14:26:06 WEST 2019,US,ORIGINAL,300,8,3
1126837661115744268,Fri May 10 14:13:28 WEST 2019,VE,ORIGINAL,276,2,3
1126837346018611201,Fri May 10 14:12:13 WEST 2019,US,ORIGINAL,301,14,8
1128692148608610304,Wed May 15 17:02:32 WEST 2019,DE,ORIGINAL,167,3,3
1128668017053786112,Wed May 15 15:26:39 WEST 2019,US,ORIGINAL,296,23,13
1128665869653950465,Wed May 15 15:18:07 WEST 2019,US,ORIGINAL,288,9,3
1128701821462155264,Wed May 15 17:40:59 WEST 2019,FR,REPLY,252,0,1
